MER34C_                         OCT4
LTR8A                           OCT4
-TATATG-n                       OCT4
MER67C                          OCT4
-GA-n                           OCT4
-CATA-n                         OCT4
-TC-n                           OCT4
-TATG-n                         OCT4
MER74B                          OCT4
MER4A1                          OCT4
MER41B                          OCT4
LTR6A                           OCT4
LSU-rRNA_Hsa                    OCT4
-CATG-n                         OCT4
MER4A                           OCT4
MER1B                           OCT4
Alu                         OCT4
MER4C                           OCT4
-GAGTG-n                        OCT4
PRIMA4-int                      OCT4
ACRO1                      OCT4
TAR1                       OCT4
LTR18A                          OCT4
LTR48                           OCT4
MSTB-int                        OCT4
MER67B                          OCT4
LTR22C                          OCT4
MER49                           OCT4
MER4-int                        OCT4
MER9                            OCT4
LTR37A                          OCT4
MER4A1_                         OCT4
LTR22B                          OCT4
LTR13                           OCT4
-CACG-n                         OCT4
LTR36                           OCT4
-CCCTAA-n                       OCT4
-TGG-n                          OCT4
HERVIP10FH                      OCT4
FRAM                            OCT4
MER4D0                          OCT4
MER34B                          OCT4
LTR26B                          OCT4
MER72                           OCT4
U1                        OCT4
MLT2F                           OCT4
-CAG-n                          OCT4
-CGTG-n                         OCT4
-CCA-n                          OCT4
-ATGGTG-n                       OCT4
LTR2                            OCT4
LTR26E                          OCT4
LTR34                           OCT4
-GGA-n                          OCT4
MST-int                         OCT4
-CAGC-n                         OCT4
LTR43                           OCT4
MER61C                          OCT4
-CAGA-n                         OCT4
-CAGGG-n                        OCT4
-TTAGGG-n                       OCT4
MER34C                          OCT4
-GCTG-n                         OCT4
MER51B                          OCT4
MER61E                          OCT4
-CCCA-n                         OCT4
-CACAC-n                        OCT4
LTR22A                          OCT4
LTR73                           OCT4
LTR14B                          OCT4
LTR68                           OCT4
LTR18B                          OCT4
MER51B-int                      OCT4
LTR35                           OCT4
-TCTG-n                         OCT4
tRNA-Asn-AAC                    OCT4
-GTGTG-n                        OCT4
LTR76                           OCT4
